"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Sterrenstof,De Jeugd Van Tegenwoordig,61,"['dutch hip hop', 'dutch indie', 'dutch pop', 'dutch rock']",0.714,0.79,5,-3.757,0,0.109,0.317,1.27e-05,0.198,0.904,97.012
Krantenwijk,Lil Kleine,25,"['dutch hip hop', 'dutch pop']",0.94,0.788,9,-4.035,0,0.126,0.575,0,0.124,0.908,120.014
Afstand,Dopebwoy,44,"['dutch hip hop', 'dutch pop', 'dutch urban']",0.929,0.87,9,-4.254,1,0.15,0.138,0.00749,0.117,0.563,122.052
Know You Better,FÄIS,4,['dutch pop'],0.854,0.586,6,-5.163,1,0.1,0.142,2.77e-06,0.071,0.779,97.974
Snelle Planga,Donnie,40,['dutch hip hop'],0.903,0.737,4,-6.855,0,0.262,0.0255,0.00615,0.165,0.575,99.991
Coño,Puri,67,['basshall'],0.847,0.573,0,-6.032,1,0.253,0.00739,0.0149,0.0845,0.332,99.919
Friends,David Benjamin,60,"['dutch pop', 'dutch singer-songwriter']",0.72,0.33,5,-10.974,1,0.0352,0.855,0,0.111,0.716,89.918
On the Train Ride Home,The Paper Kites,62,"['australian indie folk', 'chamber pop', 'indie anthem-folk', 'indie folk', 'neo mellow', 'stomp and holler']",0.611,0.195,6,-18.629,1,0.0275,0.805,0.103,0.112,0.203,103.001
Slow Down,Dimitri Vegas & Like Mike,51,"['belgian dance', 'belgian edm', 'big room', 'edm', 'electro house', 'progressive electro house', 'tropical house']",0.84,0.73,1,-4.181,1,0.0598,0.0814,4.45e-06,0.106,0.654,105.016
Howling At The Moon,Milow,51,"['belgian pop', 'belgian rock', 'belgian singer-songwriter', 'german pop']",0.711,0.664,0,-4.974,1,0.0308,0.204,0,0.235,0.579,127.834
Fortitude,HAEVN,38,"['dutch pop', 'dutch rock']",0.247,0.176,5,-11.623,0,0.0379,0.926,0.0318,0.107,0.207,161.228
