"name", "artist", "popularity", "genres", "danceability", "energy", "key","loudness", "mode", "speechiness", "acousticness", "instrumentalness","liveness", "valence", "tempo"
Think,Aretha Franklin,67,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.687,0.63,6,-10.817,1,0.0389,0.249,0,0.221,0.926,110.051
Son of a Preacher Man,Aretha Franklin,62,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.474,0.473,2,-11.454,1,0.0601,0.545,1.25e-06,0.0356,0.561,77.583
"Endless Love - From ""The Endless Love"" Soundtrack",Lionel Richie,63,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.456,0.332,10,-9.775,1,0.025,0.665,0.000248,0.138,0.237,93.633
I'm Coming Out,Diana Ross,66,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.72,0.828,5,-9.211,1,0.0463,0.185,0.433,0.0839,0.768,110.07
Upside Down,Diana Ross,57,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.873,0.855,5,-8.559,0,0.0615,0.178,0.0282,0.0377,0.884,107.868
Ain't No Mountain High Enough - Edit Version,Diana Ross,48,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.401,0.783,0,-5.929,0,0.0465,0.384,0.00319,0.468,0.456,99.274
Chain Reaction,Diana Ross,48,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",0.806,0.6,11,-9.642,1,0.0329,0.091,0.000436,0.0836,0.756,127.814
I Say a Little Prayer,Aretha Franklin,75,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.59,0.355,9,-14.051,1,0.0352,0.48,0,0.0585,0.499,133.03
Respect,Aretha Franklin,72,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,69,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.65,0.323,0,-8.698,1,0.0283,0.213,0,0.187,0.276,110.962
Think,Aretha Franklin,67,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.687,0.63,6,-10.817,1,0.0389,0.249,0,0.221,0.926,110.051
Son of a Preacher Man,Aretha Franklin,62,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",0.474,0.473,2,-11.454,1,0.0601,0.545,1.25e-06,0.0356,0.561,77.583
Feliz Navidad,Jools Holland,37,['boogie-woogie'],0.634,0.862,2,-4.166,1,0.0415,0.156,3.27e-05,0.368,0.967,124.287
Ac-Cent-Tchu-Ate the Positive,Jools Holland,37,['boogie-woogie'],0.476,0.701,10,-5.841,1,0.0415,0.194,1.08e-05,0.12,0.587,122.463
Let's Find Each Other Tonight,Jools Holland,36,['boogie-woogie'],0.678,0.704,7,-8.691,1,0.0292,0.63,0.0165,0.121,0.853,113.513
Enjoy Yourself (It's Later Than You Think),Jools Holland,36,['boogie-woogie'],0.458,0.863,0,-5.685,1,0.0627,0.144,0,0.372,0.948,133.806
Horse To The Water,Jools Holland,34,['boogie-woogie'],0.631,0.911,7,-5.453,0,0.0447,0.1,0.000402,0.118,0.662,119.545
Electric Silence,Glass Museum,34,['belgian modern jazz'],0.257,0.644,4,-11.047,0,0.0313,0.0955,0.873,0.289,0.23,90.081
Wu,Glass Museum,20,['belgian modern jazz'],0.368,0.565,5,-11.977,0,0.0313,0.411,0.854,0.0963,0.262,105.686
Waves,Glass Museum,17,['belgian modern jazz'],0.471,0.647,9,-10.7,0,0.0305,0.000592,0.862,0.143,0.232,166.975
Shadow's Faces,Glass Museum,16,['belgian modern jazz'],0.607,0.738,4,-8.601,0,0.0359,0.00532,0.389,0.13,0.248,146.97
Tribal Coffee,Glass Museum,14,['belgian modern jazz'],0.422,0.494,5,-9.868,0,0.0378,0.273,0.802,0.166,0.376,127.07
Adaletin Bu Mu Dünya,Koray Avcı,51,"['karadeniz halk muzigi', 'turkish pop']",0.633,0.801,7,-7.159,0,0.0829,0.0816,0,0.668,0.712,103.006
Unutamam Seni,Koray Avcı,51,"['karadeniz halk muzigi', 'turkish pop']",0.375,0.566,11,-7.018,0,0.0498,0.797,3.41e-05,0.269,0.513,93.257
Gittin Gideli - Akustik,Koray Avcı,51,"['karadeniz halk muzigi', 'turkish pop']",0.549,0.215,11,-8.306,0,0.0364,0.931,0.000239,0.246,0.308,95.919
Sen,Koray Avcı,51,"['karadeniz halk muzigi', 'turkish pop']",0.503,0.764,9,-6.267,0,0.046,0.106,3.08e-05,0.365,0.579,83.027
Yuh Yuh,Koray Avcı,49,"['karadeniz halk muzigi', 'turkish pop']",0.954,0.731,6,-5.732,0,0.077,0.0738,2.86e-06,0.264,0.596,112.038
"Rhapsody On a Theme of Paganini, Op. 43: V. Variation XVIII",Sergei Rachmaninoff,56,"['classical', 'post-romantic era', 'russian romanticism', 'ukrainian classical']",0.123,0.0386,1,-25.577,1,0.0374,0.968,0.939,0.0865,0.0573,174.824
