zipcodes_rotterdam$city,zipcodes_rotterdam$zip,lon,lat
ROTTERDAM,3083CE,4.4829062,51.8900309
ROTTERDAM,3031RM,4.4777326,51.9244201
ROTTERDAM,3054VJ,4.4953784,51.9658112
ROTTERDAM,3086SB,4.4597231,51.8716029
ROTTERDAM,3067 XJ,4.5404766,51.94252239999999
ROTTERDAM,3001AP,4.4777326,51.9244201
ROTTERDAM,3035VT,4.4837956,51.9325365
ROTTERDAM,3043AN,4.425105300000001,51.9387945
ROTTERDAM,3071BW,4.5033362,51.910483
ROTTERDAM,3034RB,4.492745300000001,51.9351038
ROTTERDAM,3026RL,4.4454445,51.9106625
ROTTERDAM,3079HN,4.5491787,51.8791157
ROTTERDAM,3078WR,4.53512,51.891383
ROTTERDAM,3053ET,4.473652299999999,51.9586872
ROTTERDAM,3068HG,4.568768500000001,51.9622639
ROTTERDAM,3036JH,4.4884603,51.9348644
ROTTERDAM,3078RG,4.552524099999999,51.888245
ROTTERDAM,3063AT,4.509278999999999,51.91874319999999
ROTTERDAM,3076GM,4.5235687,51.871056
ROTTERDAM,3028CJ,4.4199476,51.915597
ROTTERDAM,3054WB,4.487997399999999,51.96525159999999
ROTTERDAM,3024XS,4.4556457,51.9072292
ROTTERDAM,3053MH,4.473228000000001,51.9623783
ROTTERDAM,3062XN,4.531125400000001,51.9241807
ROTTERDAM,3086RM,4.4622002,51.871191
ROTTERDAM,3045 PH,4.4636241,51.9468427
ROTTERDAM,3051AR,4.4877872,51.94596929999999
ROTTERDAM,3065PA,4.5591178,51.9253969
ROTTERDAM,3051JM,4.4754456,51.948472
ROTTERDAM,3011TT,4.4985253,51.9215208
ROTTERDAM,3067DT,4.5675856,51.9449706
ROTTERDAM,3073ZC,4.4982974,51.89628769999999
ROTTERDAM,3021XX,4.4574837,51.9132213
ROTTERDAM,3039JM,4.459325199999999,51.9296313
ROTTERDAM,3068DL,4.5508896,51.95582810000001
ROTTERDAM,3061 ST,4.5011718,51.9244351
ROTTERDAM,3068EG,4.55134,51.9613324
ROTTERDAM,3055HH,4.506155199999999,51.9616677
ROTTERDAM,3039EK,4.4566754,51.9297992
ROTTERDAM,3031XG,4.4914078,51.9277948
ROTTERDAM,3063 BX,4.51495,51.9186506
ROTTERDAM,3052KT,4.475665100000001,51.9512782
ROTTERDAM,3089RK,4.4193523,51.8959875
ROTTERDAM,3062SJ,4.526894599999999,51.92191159999999
ROTTERDAM,3067VM,4.5435444,51.94412639999999
ROTTERDAM,3026TN,4.439866299999999,51.91328739999999
ROTTERDAM,3001KC,4.4777326,51.9244201
ROTTERDAM,3061AC,4.5090758,51.9276585
ROTTERDAM,3035GC,4.4805103,51.9339315
ROTTERDAM,3034PK,4.4777326,51.9244201
ROTTERDAM,3075KL,4.5147213,51.8877457
ROTTERDAM,3027AX,4.4323153,51.91432289999999
ROTTERDAM,3038TS,4.4660857,51.9367497
ROTTERDAM,3009TD,4.4777326,51.9244201
ROTTERDAM,3031ND,4.4940995,51.92697039999999
ROTTERDAM,3069XT,4.575076699999999,51.970676
ROTTERDAM,3063AK,4.515853600000001,51.9185314
ROTTERDAM,3021XT,4.460699,51.913777
ROTTERDAM,3069XE,4.5716013,51.9673172
ROTTERDAM,3062XP,4.527494799999999,51.9239744
ROTTERDAM,3011WS,4.487114099999999,51.91713730000001
ROTTERDAM,3021JR,4.459562099999999,51.9160422
ROTTERDAM,3039ZM,4.4618419,51.9288602
ROTTERDAM,3016CH,4.4758552,51.9060663
ROTTERDAM,3078EH,4.5580048,51.8919512
ROTTERDAM,3074NK,4.5096365,51.890755
ROTTERDAM,3076PS,4.5195916,51.87925140000001
ROTTERDAM,3067TT,4.5565377,51.9485694
ROTTERDAM,3076LB,4.5304001,51.8752858
ROTTERDAM,3023SM,4.446960199999999,51.9146297
ROTTERDAM,3011TL,4.4985708,51.9206942
ROTTERDAM,3022LV,4.4777326,51.9244201
ROTTERDAM,3061XE,4.5102882,51.9236406
ROTTERDAM,3037 LJ,4.4715826,51.938896
ROTTERDAM,3024CC,4.4553911,51.9054924
ROTTERDAM,3032TR,4.4733737,51.93162900000001
ROTTERDAM,3039BA,4.4692303,51.9308866
ROTTERDAM,3077ZD,4.5521065,51.9029116
ROTTERDAM,3083CD,4.4835478,51.88991000000001
ROTTERDAM,3069ZD,4.577595,51.9714484
ROTTERDAM,3051ET,4.4774118,51.9433277
ROTTERDAM,3053KR,4.4798065,51.9622944
ROTTERDAM,3014PA,4.4684252,51.9169298
ROTTERDAM,3031PV,4.488763899999999,51.92622859999999
ROTTERDAM,3061BA,4.5103724,51.9312456
ROTTERDAM,3056RA,4.5185694,51.9502366
ROTTERDAM,3022NJ,4.4534489,51.9192388
ROTTERDAM,3071 ME,4.502703599999999,51.9071793
ROTTERDAM,3023ZK,4.4542293,51.9117573
ROTTERDAM,3073HD,4.4993088,51.8958459
ROTTERDAM,3051JB,4.4775488,51.9458995
ROTTERDAM,3053LR,4.4734124,51.9604651
ROTTERDAM,3000AJ,4.4777326,51.9244201
ROTTERDAM,3071TP,4.5048334,51.91195039999999
ROTTERDAM,3063BZ,4.514123,51.9193186
ROTTERDAM,3021BV,4.458297100000001,51.9181716
ROTTERDAM,3038CL,4.4670527,51.9342674
ROTTERDAM,3053LB,4.472917,51.9612163
ROTTERDAM,3011MZ,4.494295399999999,51.9214977
ROTTERDAM,3024EB,4.4630709,51.9072788
ROTTERDAM,3067ZH,4.5419334,51.9400789
ROTTERDAM,3021JX,4.4603845,51.9121116
ROTTERDAM,3042 AR,4.4259647,51.9353318
ROTTERDAM,3014EE,4.4636258,51.917054
ROTTERDAM,3066RC,4.554833599999999,51.930643
ROTTERDAM,3000 AH,4.4777326,51.9244201
