id,namenl,subtitlenl,subtitle2nl,startts,locationid,Klassiek,Populair,Operacursus,Muziekcursus,Familieconcert,Pop_jazz_and_beyond,Mezzo-middag,Pop_Classics,Muziektheater,Jazz,Doelenmenu
46821,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-22 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46822,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-23 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46823,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-24 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46295,Gergiev dirigeert Sjostakovitsj,Rotterdams Philharmonisch Orkest,,2020-01-24 20:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46824,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-25 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46564,GEANNULEERD - Messa da Requiem,Giuseppe Verdi,,2019-11-20 20:15:00,10135,1,0,0,0,0,0,0,0,0,0,0
46650,Love Actually In Concert,,,2019-11-21 20:15:00,10135,0,1,0,0,0,0,0,0,0,0,0
46294,Gergiev dirigeert Sjostakovitsj,Rotterdams Philharmonisch Orkest,,2020-01-26 14:15:00,10135,0,0,0,0,0,0,0,0,0,0,0
46825,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-26 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46826,Geen Doelenmenu ivm IFFR,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-27 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
46827,Geen Doelenmenu ivm IFFR,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-28 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
47014,Korpsconcert Marinierskapel der,Koninklijke Marine 2019,,2019-11-27 20:30:00,10135,1,0,0,0,0,0,0,0,0,0,0
46828,Geen Doelenmenu ivm IFFR,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-29 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
46829,Geen Doelenmenu ivm IFFR,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-30 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
46830,Geen Doelenmenu ivm IFFR,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-01-31 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
47084,Test ongeplaceerd,,,2020-02-01 14:30:00,10135,0,0,0,0,0,0,0,0,0,0,0
47094,nog een  test - prijslijsten,,,2020-02-01 15:00:00,10135,0,0,0,0,0,0,0,0,0,0,0
46800,Geen Doelenmenu ivm IFFR,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-01 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
46831,Geen Doelenmenu ivm IFFR,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-02 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,0
46832,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-03 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46833,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-04 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46834,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-05 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
46835,Doelenmenu,Info en voorwaarden: dedoelen.nl/doelenmenu,,2020-02-06 17:00:00,10151,0,0,0,0,0,0,0,0,0,0,1
